Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QL","Livestock Primary","98","Croatia","5510","Production","978","Offals, sheep,edible","2017","2017","tonnes","667.97","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","978","Offals, sheep,edible","2018","2018","tonnes","748.34","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","1025","Skins, goat, fresh","2014","2014","tonnes","176","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","1025","Skins, goat, fresh","2015","2015","tonnes","132","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","1025","Skins, goat, fresh","2016","2016","tonnes","110","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","1025","Skins, goat, fresh","2017","2017","tonnes","132","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","1025","Skins, goat, fresh","2018","2018","tonnes","110","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","995","Skins, sheep, fresh","2014","2014","tonnes","1696","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","995","Skins, sheep, fresh","2015","2015","tonnes","1600","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","995","Skins, sheep, fresh","2016","2016","tonnes","1591","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","995","Skins, sheep, fresh","2017","2017","tonnes","1505","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","995","Skins, sheep, fresh","2018","2018","tonnes","1686","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","987","Wool, greasy","2014","2014","tonnes","941","","Official data"
"QL","Livestock Primary","98","Croatia","5510","Production","987","Wool, greasy","2015","2015","tonnes","1031","","Official data"
